title,date,description
Republic Day,2025-01-26,Republic Day is a national holiday in India.
Independence Day,2025-08-15,Independence Day marks the end of British rule in 1947.
Gandhi Jayanti,2025-10-02,Gandhi Jayanti is celebrated in honor of Mahatma Gandhi's birthday.
Diwali,2025-11-12,Diwali is the festival of lights celebrated by Hindus.
Holi,2025-03-25,Holi is the festival of colors celebrated by Hindus.
Christmas,2025-12-25,Christmas is celebrated to commemorate the birth of Jesus Christ.
Eid al-Fitr,2025-04-22,Eid al-Fitr is celebrated by Muslims marking the end of Ramadan.
Raksha Bandhan,2025-08-10,Raksha Bandhan celebrates the bond between brothers and sisters.
Makar Sankranti,2025-01-14,Makar Sankranti is a harvest festival celebrated in various parts of India.
Janmashtami,2025-08-31,Janmashtami marks the birth of Lord Krishna.
Navratri,2025-10-01,Navratri is a festival dedicated to the worship of the Hindu deity Durga.
Good Friday,2025-04-18,Good Friday commemorates the crucifixion of Jesus Christ.
Maha Shivaratri,2025-02-27,Maha Shivaratri is a Hindu festival dedicated to Lord Shiva.
Guru Nanak Jayanti,2025-11-15,Guru Nanak Jayanti celebrates the birth of the first Sikh guru Guru Nanak.
Baisakhi,2025-04-13,Baisakhi is a harvest festival celebrated in Punjab.
Meeting with boss,2025-02-21,A meeting scheduled with the boss.
Project submission,2025-02-22,Submission deadline for the project.
Family gathering,2025-02-28,A family gathering event.
Doctor's appointment,2025-03-01,A scheduled appointment with the doctor.
